TspAssetID,Name,Lat,Long,IPHostAddress
80,Hannum Ave + Playa St,33.99091,-118.394038,172.16.2.80
81,Sepulveda Blvd + Jefferson Blvd / Playa St,33.990229,-118.395224,172.16.2.81
82,Sepulveda Blvd + Berryman Ave,33.992986,-118.395321,172.16.2.82
83,Sepulveda Blvd + Jefferson / Sawtelle Blvd,33.995811,-118.395543,172.16.2.83
84,Sepulveda Blvd + Machado Rd,33.997671,-118.397871,172.16.2.84
85,Jefferson Blvd + Machado Rd,33.997675,-118.3955,172.16.2.85
86,Jefferson Blvd + Cota St,34.00002,-118.395494,172.16.2.86
87,Jefferson Blvd + Kinston Ave,34.00202,-118.394532,172.16.2.87
88,Overland Ave + Virginia Ave,34.006072,-118.395215,172.16.2.88
89,Jefferson Blvd + Overland Ave,34.004212,-118.393489,172.16.2.89
90,"Overland Ave, Clarmon Pl + Freshman Dr",34.001843,-118.391158,172.16.2.90
91,Overland Ave + Maytime Ln,34.003052,-118.392411,172.16.2.91
92,Jefferson Blvd + Jordan Way / Summertime Ln,34.005338,-118.392962,172.16.2.92
93,Jefferson Blvd + Indian Wood Rd,34.006784,-118.392181,172.16.2.93
94,Jefferson Blvd + Raintree Cir,34.010117,-118.390505,172.16.2.94
95,Jefferson Blvd + College Blvd / Leahy St,34.013098,-118.388988,172.16.2.95
96,Jefferson Blvd + Storage Dwy / Pacbell,34.014375,-118.388523,172.16.2.96
97,Jefferson Blvd + Duquesne Ave,34.016755,-118.388003,172.16.2.97
98,Hannum Ave + Westfield Mall Dwy,33.987563,-118.391021,172.16.2.98
99,Washington Blvd + Landmark St,34.027204,-118.388146,172.16.2.99
100,Culver Blvd + I-405 NB On Off Ramps,34.003424,-118.410977,172.16.2.100
101,National Blvd + Eastham Dr,34.026724,-118.377616,172.16.2.101
102,Washington Blvd + McLaughlin Ave,33.999976,-118.417724,172.16.2.102
105,Jefferson Blvd + Hetzler Rd (New),34.020504,-118.382547,172.16.2.105
106,Washington Blvd + Wesley St,34.028791,-118.385548,172.16.2.106
